trading_date,TF,TL,T,TS
2023-08-22,106.13699999999999,101.8,116.69000000000001,104.975
2023-08-23,106.07699999999998,101.77,116.59000000000002,104.955
2023-08-24,106.09699999999998,101.92,116.59500000000001,104.96
2023-08-25,105.98699999999998,101.79,116.50000000000001,104.895
2023-08-28,105.89199999999998,101.59,116.33500000000002,104.85
2023-08-29,105.78699999999998,101.38,116.21500000000002,104.79499999999999
2023-08-30,105.95699999999998,101.62,116.40000000000002,104.88499999999999
2023-08-31,105.95199999999998,101.49,116.39000000000001,104.91499999999999
2023-09-01,105.85699999999999,101.34,116.27000000000002,104.895
2023-09-04,105.62199999999999,100.41,115.86500000000002,104.815
2023-09-05,105.63699999999999,100.38,115.91000000000003,104.82499999999999
2023-09-06,105.58199999999998,100.26,115.84000000000002,104.76499999999999
2023-09-07,105.41699999999999,99.81,115.62500000000001,104.68499999999999
2023-09-08,105.42199999999998,99.76,115.64000000000001,104.67999999999999
2023-09-11,105.31699999999998,99.53,115.53500000000003,104.63
2023-09-12,105.54199999999999,99.96000000000001,115.82000000000002,104.72999999999999
2023-09-13,105.59199999999998,99.97,115.90500000000002,104.76499999999999
2023-09-14,105.60199999999998,100.18,115.96500000000002,104.74999999999999
2023-09-15,105.57699999999998,99.95,115.82500000000002,104.735
2023-09-18,105.38199999999998,99.41,115.58500000000002,104.675
2023-09-19,105.45699999999998,99.8,115.73000000000002,104.69
2023-09-20,105.48699999999998,99.64,115.73500000000001,104.71499999999999
2023-09-21,105.55699999999999,99.75,115.84500000000001,104.74999999999999
2023-09-22,105.45699999999998,99.58,115.70000000000002,104.72
2023-09-25,105.37199999999999,99.14,115.56500000000001,104.69999999999999
2023-09-26,105.30199999999998,98.68,115.43500000000002,104.65499999999999
2023-09-27,105.41199999999998,99.0,115.56000000000002,104.69
2023-09-28,105.54699999999998,99.47,115.76000000000002,104.755
2023-10-09,105.58699999999997,99.62,115.84500000000001,104.74999999999999
2023-10-10,105.40699999999998,99.45,115.68000000000002,104.675
2023-10-11,105.26699999999998,99.15,115.52500000000002,104.595
2023-10-12,105.25699999999998,99.09,115.47000000000001,104.615
2023-10-13,105.34699999999998,99.35000000000001,115.60000000000002,104.64999999999999
2023-10-16,105.39199999999998,99.44,115.67000000000002,104.64999999999999
2023-10-17,105.28699999999998,99.3,115.56000000000002,104.595
2023-10-18,105.29199999999999,99.3,115.57500000000002,104.57499999999999
2023-10-19,105.13199999999998,98.85000000000001,115.33500000000002,104.47999999999999
2023-10-20,105.03699999999998,98.67,115.23000000000002,104.42999999999999
2023-10-23,105.30199999999998,99.26,115.54500000000002,104.55
2023-10-24,105.21699999999998,99.06,115.44000000000001,104.49999999999999
2023-10-25,105.35199999999998,98.79,115.52000000000002,104.595
2023-10-26,105.51699999999998,99.08,115.73500000000001,104.64999999999999
2023-10-27,105.39699999999998,98.75,115.62500000000001,104.6
2023-10-30,105.48199999999999,98.94,115.72500000000002,104.64999999999999
2023-10-31,105.58699999999997,99.16,115.90000000000002,104.66999999999999
2023-11-01,105.57199999999997,99.31,115.92000000000002,104.63499999999999
2023-11-02,105.63199999999998,99.38,115.99500000000002,104.66
2023-11-03,105.63199999999998,99.5,115.99000000000002,104.65499999999999
2023-11-06,105.62199999999999,99.53,116.00500000000002,104.63999999999999
2023-11-07,105.64199999999998,99.69,116.08000000000001,104.63499999999999
2023-11-08,105.56699999999998,99.62,116.01000000000002,104.579
2023-11-09,105.70699999999998,99.94,116.13500000000002,104.601
2023-11-10,105.66699999999999,99.95,116.12500000000001,104.54899999999999
2023-11-13,105.73699999999998,100.23,116.17000000000002,104.61099999999999
2023-11-14,105.69199999999998,100.2,116.12000000000002,104.577
2023-11-15,105.58199999999998,99.88,115.96000000000002,104.52499999999999
2023-11-16,105.74699999999999,100.24,116.15000000000002,104.56299999999999
2023-11-17,105.70199999999998,100.18,116.15000000000002,104.53099999999999
2023-11-20,105.58199999999998,100.35000000000001,116.07500000000002,104.47099999999999
2023-11-21,105.52199999999998,100.29,116.06500000000001,104.43499999999999
2023-11-22,105.45199999999998,100.11,115.98500000000001,104.40499999999999
2023-11-23,105.29699999999998,99.63000000000001,115.71500000000002,104.34299999999999
2023-11-24,105.37199999999999,99.72000000000001,115.85500000000002,104.39099999999999
2023-11-27,105.282,99.50000000000001,115.73000000000002,104.317
2023-11-28,105.33699999999999,99.71000000000001,115.82500000000002,104.347
2023-11-29,105.39699999999999,99.87,115.9,104.38099999999999
2023-11-30,105.45199999999998,100.18,116.00500000000001,104.40499999999999
2023-12-01,105.46699999999998,100.01,116.03000000000002,104.39699999999999
2023-12-04,105.38699999999999,100.16000000000001,115.97500000000001,104.353
2023-12-05,105.35699999999999,100.06,115.95500000000001,104.34499999999998
